Описание анкеты; Рекомендовать
Ищу интересных людей. Люблю смотреть дорамы. Остальное при общении; 0
Пока тут; 0
Я теряюсь, когда меня просят рассказать о себе, так что лучше в лс. Учусь, умираю с подготовкой к диплому и пытаюсь жить жизнь; 0
Хочу такую же кепку, как у Марио... Кто-нибудь знает где такую взять? Люблю к-поп; 0
Ищем с кем потусить, нас трое; 0
Просто хочется общаться; 0
Люблю кпоп и корейские дорамы; 0
Здравствуй, я в основном занимаюсь рисованием, но иногда могу что-то побрынькать на гитаре. Люблю японский рокметалл; 0
Девочка с рыжими волосами. Учу корейский(начальный уровень) и английский(upper-intermediate). Пишу горные пейзажи, люблю гулять на свежем воздухе, читать и писать стихи; 0
Пока ищу общение по душам, а дальше как пойдет. Если вес - главное, общение не интересует; 0
Я просто хочу пить с кем-то пиво; 0
Общение; 0
Татарочка, с 177 ростом; 0
Ищу друзей; 0
Прив; 0
Люблю чипсы; 0
Интернет общение, не более; 0
Заходи, посмотри; 0
Эмоциональная, из крайности в крайность, сначала делаю потом только думаю и добрая. Вопрос к тебе: стоя у берега, каким ты видишь море?; 0
Ты тоже каждую ночь ложишься спать в надежде, что уснёшь до рассвета? Будет классно разговаривать часами, делиться историями из жизни, скидывать друг другу видосы из тик тока и смотреть фильмы в дс, даже если это продлится не больше двух дней; 1
У меня нет увлечений. Я ищу тут общение или даже лучшего друга. Я не пью, не курю. Если кому интересно рост 171 см, а зз Рыбы; 1
Просто; 0
Учусь в ктнхп рыбызащитник. Би; 0
Блин, моя кошка такая крутая; 1
Занимаюсь фигурным катанием; 0
Живу в Казани, рост 158. Общение. Родом из Макеевки; 1
Люблю редс, калинкина и книги; 0
Расскажи мне о своей жизни и выслушай меня. Будет комфортно и тебе и мне; 0
Я твой рот ебала; 1
Приветик; 0
Мальчики +180; 0
Я обожаю слушать музыку. Смотрю аниме (БСД в сердечке). Читаю книги,манги,манхвы и т.п. Слушаю  к-поп. Играю в геншин и пабг (геншин-54 ранг, Европа). Пишу стихи (редко,но пишу). Иногда много пишу или  скидываю видосики из тт. Мне бы хотелось найти друга или подругу; 0
180+; 0
Смотрю по-немногу аниме, на данный момент смотрю "блю лок". Так же читаю манги, сейчас читаю "ветролом". Немного шарю за курседа и акуму. Мне бы людей с кем погулять или мб просто пообщаться. Ну и на блог подпишитесь что ли; 0
Живу, учусь, работаю, познаю себя; 0
Буду точно сюда поступать, поэтому ищу компанию; 0
Душнила и задрот, хочу пиццу; 0
Как дела пупсики; 0
Общение. Подарите цветочки; 0
Скучно; 0
Мне нужен большой мальчик; 0
Вот бы кого-то в доту 2 поиграть; 0
Хотела бы найти для начала друга, чтоб был без вредных привычек, красивым, русским, христианином; 0
Обожаю фонк; 0
Отношения не интересуют, хотелось бы просто с кем-то пообщаться; 0
Отъебитесь со своей микасой и пошлите гулять; 1
Пошлите гулять; 1
В скором времени собираюсь переехать и поступать в ИТИС; 1
Подарите цветочки; 0
Учусь и заебываюсь; 1
Люблю погулять. Ищу кого нибудь. Пишите. Все в лс; 1
Давай смотреть аниме. Ну и просто общаться; 0
Люблю готовить, ищу себе друга; 0
Ищу парня, симпатичного, высокого, гулять, выставлять милые видосики, обниматься; 0
Да я не ебу что писать; 1
Я довольно скучный человек, ахах. Увлекаюсь спидкубингом, хожу в зал. Ищу интересных собеседников; 1
Летом уже буду совершеннолетней, люблю родителей и спать, у меня все; 1
Ищу общительных людей с широким кругозором, чтобы вместе гулять; 1
Люблю смотреть мелодрамы, аниме и дорамы. Люблю погулять, можем поговорить обо всем. Ищу общение, а может что-то большее; 0
Общение; 1
Хочется просто с кем-нибудь гулять, обниматься. Вообще у меня часто бывают скачки настроения, но гулять я люблю. И можно общение не на один день; 1
Экстраверт, таролог, радфем, лесбиянка, кинн, гоголя чую и люблю воняющие жгучие палки; 0
Я вот вкусно готовлю; 1
Ищу друга, чтоб болтать; 0
Нравится слушать музыку, смотрю аниме, слегка увлекаюсь волейболом и иногда читаю книги; 0
Не пишу первая, ищу парня +180 (хочу казаться малявкой на его фоне, сама 178), учусь рисованию и посвящаю довольно много времени этому. Не смотрю аниме; 0
Люблю читать мангуманхву, играю в волейбол, а ещё иногда рисую. немного шарю за химию. Рост 156; 0
Можем поиграть в варкрафт, геншин, варфрейм, дестени и тому подобное; 0
Буду рада новым знакомствам, а также хочу найти друга или подругу, которая всегда поддержит любой разговор; 0
Куплю пива, возьму в рот; 1
Смотрю аниме, читаю манги. Люблю по общаться 247 с приколами и так. Больше интроверт, но  могу поговорить на любую тему. Привки; 0
Недавно переехала, ищу людей, с которыми можно погулять, поговорить о жизни, посмотреть фильмы и сериалы; 0
Ищу веселого высокого парня с милой улыбкой, с которым можно интересно пообщаться; 0
Люблю аниме, игры. Подробнее в чате; 0
Люблю карамельное молоко и спать; 1
У меня большие ляхи; 1
Не высокого роста, зз Овен, ищу общение; 0
Рада с тобой пообщаться; 1
Работаю в модельном агентстве. Голубоглазая брюнетка. Увлекаюсь. Общительная и дружелюбная; 1
Интересуюсь сферой it и учусь на программиста. Увлекаюсь психологией и часто слушаю подкасты. В свободное время читаю книги и вяжу спицами. Спокойно отношусь к курению и алкоголю, если вы знаете меру в этом; 1
Люблю слушать ПМ и рисовать!За общение; 0
Меркантильная(172); 0
Мне семнадцать учусь на втором курсе мой рост составляет 179 см высокая я это знаю. Я довольно стеснительный человек очень тактильный. Давайте дружить!; 0
